Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
"Legacy Tower, Av Empresarios 62",5310,1.0,1.0,12.0,Obrera,Guadalajara,Department,442.5,1.0,0-10k
Calle Miguel de Cervantes Saavedra 382A,5310,1.0,1.0,12.0,Obrera,Guadalajara,Department,442.5,1.0,0-10k
,2950,1.0,1.0,20.0,El Mante,Zapopan,Department,147.5,1.0,0-10k
Punto Sur,2950,1.0,2.0,20.0,El Mante,Zapopan,Department,147.5,2.0,0-10k
"Juan Palomar y Arias 765, Prados Providencia, Prados de Providencia, Guadalajara",8200,1.0,3.0,25.0,Fraccionamiento Prados Vallarta,Zapopan,Department,328.0,3.0,0-10k
Arquitectos Norte 855,4930,1.0,1.0,25.0,Jardines Tepeyac,Zapopan,Department,197.2,1.0,0-10k
Av. Servidor Publico 1262,6500,1.0,1.0,30.0,Ladrón de Guevara,Guadalajara,House,216.66666666666666,1.0,0-10k
Av del Bajio 1700,14500,1.0,1.0,33.0,San Juan de Ocotan,Zapopan,Department,439.3939393939394,1.0,10k-20k
Av. Santa Margarita 3600,7000,1.0,2.0,35.0,La Estancia,Zapopan,Department,200.0,2.0,0-10k
Hector Berliotz 5026,7000,1.0,1.0,35.0,La Estancia,Zapopan,Department,200.0,1.0,0-10k
Avenida de las Américas,16000,1.0,2.0,36.0,Country Club,Guadalajara,Department,444.44444444444446,2.0,10k-20k
Torre Nomad las Americas,18320,1.0,3.0,36.0,Fraccionamiento Country Club,Guadalajara,Department,508.8888888888889,3.0,10k-20k
Jorge Alvarez del Castillo 1018,16890,1.0,1.0,37.0,Ayuntamiento,Guadalajara,Department,456.4864864864865,1.0,10k-20k
 Circunvalación Jorge Álvarez del Castillo,15939,1.0,3.0,37.0,Providencia,Guadalajara,Department,430.7837837837838,3.0,10k-20k
C ottawa,7800,1.0,2.0,39.0,La Estancia,Zapopan,Department,200.0,2.0,0-10k
anillo Periferico pte 1066,17200,1.0,1.0,40.0,Ayuntamiento,Guadalajara,Department,430.0,1.0,10k-20k
comerciantes,8000,1.0,3.0,40.0,Fraccionamiento Camino Real,Zapopan,House,200.0,3.0,0-10k
Av. Las Américas ,17200,1.0,1.0,40.0,Ayuntamiento,Guadalajara,Department,430.0,1.0,10k-20k
aviacion 4139,8550,1.0,1.0,40.0,Fraccionamiento Chapalita de Occidente,Zapopan,Department,213.75,1.0,0-10k
Morelos 2080,22200,1.0,2.0,40.0,Ayuntamiento,Guadalajara,Department,555.0,2.0,20k-30k
Torre Emile,18498,1.0,1.0,41.0,Country Club,Guadalajara,Department,451.1707317073171,1.0,10k-20k
,18498,1.0,3.0,41.0,Country Club,Guadalajara,Department,451.1707317073171,3.0,10k-20k
Calle Mar  Mediterráneo 1254,18498,1.0,1.0,41.0,Country Club,Guadalajara,Department,451.1707317073171,1.0,10k-20k
