Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
vistas del cielo 369,120000,4,4,635,El Palomar,Tlajomulco de Zúñiga,House
"P.º Solares, Solares Residencial, 45019 Zapopan, Jal.",35000,4,4,147,Fraccionamiento Solares,Zapopan,House
Paseo Virreyes,35000,3,3,255,Virreyes Residencial,Zapopan,House
Paseo San Arturo Poniente,59000,3,4,349,Valle Real,Zapopan,House
Liceo 1005,13000,2,1,50,Alcalde Barranquitas,Guadalajara,House
Justicia 2621,31000,3,3,240,Providencia,Guadalajara,House
"P.º Solares 2175, Solares Residencial,  Zapopan, Jal.",35000,4,4,148,Fraccionamiento Solares,Zapopan,House
Rinconada de los Jazmines 149,22000,4,3,200,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
Blvd. Santillana 33,34000,3,3,136,Fraccionamiento Solares,Zapopan,House
Fresnos 7027,28000,3,3,200,Ciudad Granja,Zapopan,House
Santa anita 601 63,35000,3,3,500,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
Paseo de la Alameda 25,55000,3,3,333,Royal Country,Zapopan,House
"AV. PASEO DEL ALVA 1192, COTO 1",16900,3,2,99,Fraccionamiento Valle Imperial,Zapopan,House
Paseo del Anochecer,45000,4,5,160,Fraccionamiento Solares,Zapopan,House
GIOVANNI PAPINI 295,27500,4,3,260,Jardines de La Patria,Zapopan,House
GIRASOLES 1628,10000,2,1,75,Santa Ana Tepetitlán,Zapopan,House
Paseo de los Virreyes  980,35000,3,3,270,Virreyes Residencial,Zapopan,House
El Bajio Habitat,46000,4,4,218,El Bajío,Zapopan,House
Av. Universidad,140000,4,4,376,Fraccionamiento Puerta del Bosque,Zapopan,House
Arcángeles ,100000,3,3,600,Valle Real,Zapopan,House
el cielo,150000,6,6,620,El Cielo Country Club Tlajomulco,El Palomar,House
Av. Dr. Ángel Leaño 1305,18000,4,3,105,Fraccionamiento La Cima,Zapopan,House
Puerta Las Lomas ,155000,4,5,385,Fraccionamiento Puerta Las Lomas,Zapopan,House
la merced 925,40000,4,3,198,Chapalita,Guadalajara,House
Av Bosque Real ,4500,2,1,80,Lomas de San Agustin,Tlajomulco de Zúñiga,House
Paseo altanza 132,50000,4,1,283,Villa Universitaria,Zapopan,House
MONTREAL 1529,85000,3,3,568,Puertas Del Tule,Zapopan,House
CAMINO A LA CUESTA 601 46,21000,3,3,120,Fraccionamiento Valle Imperial,Zapopan,House
Colomos Providencia,30000,4,1,628,Niños Héroes,Guadalajara,House
SENDERO DE LAS LADERAS 111,29000,5,5,147,Fraccionamiento Solares,Zapopan,House
av guadalupe 4283,16500,1,3,50,Providencia,Guadalajara,House
MEXICALTZINGO 1711,35000,3,2,450,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
"P.º Solares, Solares Residencial, Zapopan, Jal",47000,3,3,160,Fraccionamiento Colomos Providencia,Guadalajara,House
COTO LA GUARNICION ,13500,3,1,120,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
,50000,3,2,300,Ciudad de los niños,Zapopan,House
,22000,6,3,80,Americana,Guadalajara,House
,17500,3,2,150,Jardines del Valle,Zapopan,House
